page_number,link,is_processed
1,https://aws.amazon.com/solutions/case-studies/crece-mas-facele/,True
1,https://aws.amazon.com/solutions/case-studies/save-the-children-spain-devoteam/,True
1,https://aws.amazon.com/solutions/case-studies/ladbrokes-live-cloudar/,True
1,https://aws.amazon.com/solutions/case-studies/university-of-turku-eficode/,True
1,https://aws.amazon.com/solutions/case-studies/tehanu-adastra-anthropic/,True
1,https://aws.amazon.com/solutions/case-studies/capital-express-netred/,True
2,https://aws.amazon.com/solutions/case-studies/q2-presidio/,True
2,https://aws.amazon.com/solutions/case-studies/collaboration.ai-second-front-chainguard/,True
2,https://aws.amazon.com/solutions/case-studies/noodoe/,True
2,https://aws.amazon.com/solutions/case-studies/affirm-expel/,True
2,https://aws.amazon.com/solutions/case-studies/manz-tecracer-consulting/,True
2,https://aws-preview.aka.amazon.com/solutions/case-studies/marketreader-nasdaq/,True
3,https://aws.amazon.com/solutions/case-studies/nhs-midlands-lancashire-digital-space/,True
3,https://aws.amazon.com/solutions/case-studies/altruist-eks-infographic/?did=cr_card&trk=cr_card,True
3,https://aws.amazon.com/solutions/case-studies/contra-costa-county-district-attorney-scalecapacity/,True
3,https://aws.amazon.com/solutions/case-studies/chicks-lifestyle/,True
3,https://aws.amazon.com/solutions/case-studies/skai-singlestore/,True
3,https://aws.amazon.com/solutions/case-studies/moov-visa/,True
